type,orderID,address,city_province_zip,effective_date,municipality_district,structure_type,year_built,gla,num_beds,num_baths,condition,sale_price,sale_date,distance_to_subject,distance_km,num_baths_numeric
property,4762597,657 Gwen Avenue,"Kingston, Ontario, K7P 0M2",,,"Detached, 2-Storey",,2250.0,4.0,0:0,,807000.0,,,,0.0
property,4762597,1341 TREMONT Dr,"Kingston, Ontario, K7P 0M5",,,Freehold Townhouse,,1550.0,3.0,3:0,,572999.0,,,,3.0
property,4762597,Unit 402 - 649 DAVIS Dr,"Kingston, Ontario, L9P 1R2",,,Apartment,,1100.0,2.0,1:0,,330000.0,,,,1.0
property,4762597,1341 TREMONT Drive,"Kingston, Ontario, K7P 0M5",,,"Freehold Townhouse, 2-Storey",,1564.0,3.0,0:0,,572999.0,,,,0.0
property,4762597,Unit 402 - 649 DAVIS Drive,"Kingston, Ontario, K7M 8L4",,,"Condo Apartment, Apartment",,1100.0,2.0,0:0,,330000.0,,,,0.0
property,4762597,1028 Bauder Cres,"Kingston, Ontario, K7P 1M6",,,Detached,40.0,900.0,2.0,2:0,,542000.0,,,,2.0
property,4762597,1040 Earnhart St,"Kingston, Ontario, K7P 3B9",,,Detached,,1750.0,3.0,4:0,,740000.0,,,,4.0
property,4762597,1028 Bauder Crescent,"Kingston, Ontario, K7P 1M6",,,"Detached, Bungalow-Raised",,900.0,3.0,0:0,,542000.0,,,,0.0
property,4762597,1040 Earnhart Street,"Kingston, Ontario, K7P 3B9",,,"Detached, 2-Storey",,1750.0,3.0,0:0,,740000.0,,,,0.0
property,4762597,994 WESTMINSTER Place,"Kingston, Ontario, K7P 1R1",,,"Detached, 2-Storey",,1604.0,3.0,0:0,,595000.0,,,,0.0
property,4762597,2138 Balantrae Circ,"Kingston, Ontario, K7M 9H8",,,Detached,,1850.0,3.0,4:0,,745000.0,,,,4.0
property,4762597,2138 Balantrae Circle,"Kingston, Ontario, K7M 9H8",,,"Detached, 2-Storey",,1750.0,4.0,0:0,,745000.0,,,,0.0
property,4762597,692 Truedell Rd,"Kingston, Ontario, K7M 6T2",,,Semi-Detached,,1252.0,3.0,1:1,,465000.0,,,,1.5
property,4762597,692 Truedell Road,"Kingston, Ontario, K7M 6T2",,,"Semi-Detached, 2-Storey",,1259.0,3.0,0:0,,465000.0,,,,0.0
property,4762597,728 Sussex Blvd,"Kingston, Ontario, K7M 5B1",,,Detached,,1300.0,3.0,2:0,,595000.0,,,,2.0
property,4762597,728 Sussex Boulevard,"Kingston, Ontario, K7M 5B1",,,"Detached, Sidesplit 3",,1300.0,3.0,0:0,,595000.0,,,,0.0
property,4762597,Unit 51 - 808 Datzell Lane,"Kingston, Ontario, K7M 7R6",,,"Condo Townhouse, 2-Storey",,1100.0,3.0,0:0,,375000.0,,,,0.0
property,4762597,1126 Dunham St,"Kingston, Ontario, K7P 2L4",,,Detached,,2700.0,3.0,3:0,,935000.0,,,,3.0
property,4762597,983 Westminster Place,"Kingston, Ontario, K7P 1R1",,,"Single Family Residence, Sidesplit",,1721.0,5.0,1:1,,571400.0,,,,1.5
property,4762597,1126 Dunham Street,"Kingston, Ontario, K7P 2L4",,,"Detached, Backsplit 4",,2750.0,5.0,0:0,,935000.0,,,,0.0
property,4762597,4061 BATH Rd,"Kingston, Ontario, K7M 4Y6",,,Detached,75.0,1820.0,4.0,2:0,,473030.0,,,,2.0
property,4762597,4061 BATH Road,"Kingston, Ontario, K7M 4Y6",,,"Detached, 2-Storey",,1797.0,4.0,0:0,,473030.0,,,,0.0
property,4762597,661 Roosevelt Dr,"Kingston, Ontario, K7M 8T8",,,Detached,,1500.0,2.0,2:0,,580000.0,,,,2.0
property,4762597,657 Barnsley Cres,"Kingston, Ontario, K7M 8X4",,,Semi-Detached,,1501.0,3.0,2:0,,550000.0,,,,2.0
property,4762597,418 Conservatory Dr,"Kingston, Ontario, K7M 9C7",,,Detached,,1616.0,3.0,2:1,,762000.0,,,,2.5
property,4762597,661 Roosevelt Drive,"Kingston, Ontario, K7M 8T8",,,"Detached, Bungalow-Raised",,1750.0,2.0,0:0,,580000.0,,,,0.0
property,4762597,657 Barnsley Crescent,"Kingston, Ontario, K7M 8X4",,,"Semi-Detached, 2-Storey",,1506.0,3.0,0:0,,550000.0,,,,0.0
property,4762597,418 Conservatory Drive,"Kingston, Ontario, K7M 9C7",,,"Detached, 2-Storey",,1596.0,3.0,0:0,,762000.0,,,,0.0
property,4762597,1001 Lombardy St,"Kingston, Ontario, K7M 8M7",,,Detached,,1500.0,4.0,3:1,,615000.0,,,,3.5
property,4762597,605 Truedell Rd,"Kingston, Ontario, K7M 6S7",,,Detached,40.0,1300.0,3.0,2:0,,595000.0,,,,2.0
property,4762597,Unit 108 - 835 Milford Dr,"Kingston, Ontario, K7P 1A7",,,Condo Apt,75.0,550.0,1.0,1:0,,253750.0,,,,1.0
property,4762597,771 ASHWOOD Dr,"Kingston, Ontario, K7M 6X7",,,Condo Townhouse,40.0,1100.0,3.0,1:0,,327000.0,,,,1.0
property,4762597,1001 Lombardy Street,"Kingston, Ontario, K7M 8M7",,,"Detached, 2-Storey",,1750.0,4.0,0:0,,615000.0,,,,0.0
property,4762597,605 Truedell Road,"Kingston, Ontario, K7M 6S7",,,"Detached, Backsplit 3",,1300.0,3.0,0:0,,595000.0,,,,0.0
property,4762597,771 ASHWOOD Drive,"Kingston, Ontario, K7M 6X7",,,"Condo Townhouse, 2-Storey",,1100.0,3.0,0:0,,327000.0,,,,0.0
property,4762597,Unit 108 - 835 Milford Drive,"Kingston, Ontario, K7P 1A7",,,"Condo Apartment, Apartment",,550.0,2.0,0:0,,253750.0,,,,0.0
property,4762597,494 Roosevelt Dr,"Kingston, Ontario, K7M 4B1",,,Detached,40.0,1300.0,3.0,2:0,,570000.0,,,,2.0
property,4762597,393 Bernice Dr,"Kingston, Ontario, K7M 5X2",,,Detached,40.0,2470.0,4.0,4:0,,875000.0,,,,4.0
property,4762597,871 Crestwood Ave,"Kingston, Ontario, K7P 1S7",,,Detached,40.0,2750.0,4.0,2:0,,725000.0,,,,2.0
property,4762597,494 Roosevelt Drive,"Kingston, Ontario, K7M 4B1",,,"Detached, Bungalow-Raised",,1300.0,3.0,0:0,,570000.0,,,,0.0
property,4762597,871 Crestwood Avenue,"Kingston, Ontario, K7P 1S7",,,"Detached, 2-Storey",,2750.0,4.0,0:0,,725000.0,,,,0.0
property,4762597,393 Bernice Drive,"Kingston, Ontario, K7M 5X2",,,"Detached, 2-Storey",,2482.0,4.0,0:0,,875000.0,,,,0.0
property,4762597,760 Grouse Cres,"Kingston, Ontario, K7P 1A2",,,Semi-Detached,40.0,1156.0,3.0,2:0,,455000.0,,,,2.0
property,4762597,698 Fleet St,"Kingston, Ontario, K7M 5A5",,,Detached,,1493.0,3.0,2:0,,500000.0,,,,2.0
property,4762597,912 OAKVIEW St,"Kingston, Ontario, K7M 6V6",,,Condo Townhouse,,1300.0,3.0,1:0,,331000.0,,,,1.0
property,4762597,698 Fleet Street,"Kingston, Ontario, K7M 5A5",,,"Detached, Backsplit 3",,1504.0,3.0,0:0,,500000.0,,,,0.0
property,4762597,760 Grouse Crescent,"Kingston, Ontario, K7P 1A2",,,"Semi-Detached, Bungalow",,1119.0,4.0,0:0,,455000.0,,,,0.0
property,4762597,912 OAKVIEW Street,"Kingston, Ontario, K7M 6V6",,,"Condo Townhouse, 2-Storey",,1300.0,3.0,0:0,,331000.0,,,,0.0
property,4762597,995 Amberdale Cres,"Kingston, Ontario, K7M 6X6",,,Condo Townhouse,40.0,1100.0,3.0,2:0,,315000.0,,,,2.0
property,4762597,995 Amberdale Crescent,"Kingston, Ontario, K7M 6X6",,,"Condo Townhouse, 2-Storey",,1100.0,3.0,0:0,,315000.0,,,,0.0
property,4762597,616 Pimlico Pl,"Kingston, Ontario, K7M 5T8",,,Detached,,1750.0,3.0,3:0,,589000.0,,,,3.0
property,4762597,616 Pimlico Place,"Kingston, Ontario, K7M 5T8",,,"Detached, Sidesplit 3",,1750.0,4.0,0:0,,589000.0,,,,0.0
property,4762597,792 Safari Dr,"Kingston, Ontario, K7M 6X9",,,Detached,40.0,1335.0,3.0,2:0,,637000.0,,,,2.0
property,4762597,667 Truedell Rd,"Kingston, Ontario, K7M 6W6",,,Detached,40.0,1300.0,3.0,2:0,,505000.0,,,,2.0
property,4762597,995 Waterbury Crescent,"Kingston, Ontario, K7M 8V5",,,"Semi-Detached, Bungalow-Raised",,1750.0,4.0,0:0,,550000.0,,,,0.0
property,4762597,Unit 305 - 675 Davis Drive W,"Kingston, Ontario, K7M 8L5",,,"Condo Apartment, Apartment",,1100.0,2.0,0:0,,394500.0,,,,0.0
property,4762597,Unit 101 - 1010 Pembridge Crescent,"Kingston, Ontario, K7P 1A3",,,"Condo Apartment, Bachelor/Studio",,250.0,0.0,0:0,,187000.0,,,,0.0
property,4762597,Unit 309 - 675 Davis Drive,"Kingston, Ontario, K7M 8L5",,,"Condo Apartment, Apartment",,1100.0,2.0,0:0,,360000.0,,,,0.0
property,4762597,530 Canterbury Cres,"Kingston, Ontario, K7M 6X1",,,Detached,,2814.0,4.0,4:0,,686500.0,,,,4.0
property,4762597,530 Canterbury Crescent,"Kingston, Ontario, K7M 6X1",,,"Detached, 2-Storey",,2724.0,4.0,0:0,,686500.0,,,,0.0
property,4762597,490 Kirkwood Rd,"Kingston, Ontario, K7M 3X2",,,Detached,,900.0,2.0,2:0,,529000.0,,,,2.0
property,4762597,829 Larchwood Cres,"Kingston, Ontario, K7P 2P8",,,Detached,40.0,1750.0,3.0,2:0,,585000.0,,,,2.0
property,4762597,490 Kirkwood Road,"Kingston, Ontario, K7M 3X2",,,"Detached, Bungalow-Raised",,900.0,3.0,0:0,,529000.0,,,,0.0
property,4762597,829 Larchwood Crescent,"Kingston, Ontario, K7P 2P8",,,"Detached, Sidesplit 3",,1750.0,4.0,0:0,,585000.0,,,,0.0
property,4762597,1097 Craig Lane,"Kingston, Ontario, K7M 7W6",,,"Condo Townhouse, 3-Storey",,1300.0,3.0,0:0,,455000.0,,,,0.0
property,4762597,633 Davis Drive,"Kingston, Ontario, K7M 7Y6",,,"Semi-Detached, 2-Storey",,1300.0,3.0,0:0,,479900.0,,,,0.0
property,4762597,1512 Crimson Cres,"Kingston, Ontario, K7P 0H4",,,,10.0,1750.0,3.0,4:0,,662000.0,,,,4.0
property,4762597,1512 Crimson Crescent,"Kingston, Ontario, K7P 0H4",,,"Detached, 2-Storey",,1750.0,3.0,0:0,,662000.0,,,,0.0
property,4762597,842 Milford Drive,"Kingston, Ontario, K7P 1A8",,,"Semi-Detached, Backsplit 3",,1273.0,4.0,0:0,,475000.0,,,,0.0
property,4762597,880 Winchester Lane,"Kingston, Ontario, K7P 2S6",,,"Condo Townhouse, 2-Storey",,1300.0,3.0,0:0,,425000.0,,,,0.0
property,4762597,269 HOLDEN Street,"Kingston, Ontario, K7P 0L1",,,"Detached, 2-Storey",,2250.0,4.0,0:0,,720000.0,,,,0.0
property,4762597,781 Downing Street,"Kingston, Ontario, K7M 5N3",,,"Detached, Sidesplit 4",,1750.0,4.0,0:0,,574500.0,,,,0.0
property,4762597,1097 Pinewood Place,"Kingston, Ontario, K7P 1L1",,,"Detached, Backsplit 3",,1300.0,3.0,0:0,,470000.0,,,,0.0
property,4762597,1105 Dunham Street,"Kingston, Ontario, K7P 2K2",,,"Detached, Bungalow-Raised",,1300.0,4.0,0:0,,640000.0,,,,0.0
property,4762597,355 Tanglewood Drive,"Kingston, Ontario, K7M 8T8",,,"Detached, Bungalow-Raised",,1750.0,4.0,0:0,,710000.0,,,,0.0
property,4762597,792 Clark Crescent,"Kingston, Ontario, K7M 6J4",,,"Detached, Bungalow",,,3.0,0:0,,425750.0,,,,0.0
property,4762597,871 Larchwood Crescent,"Kingston, Ontario, K7P 2P8",,,"Semi-Detached, Bungalow-Raised",,,3.0,0:0,,489000.0,,,,0.0
property,4762597,Unit 307 - 835 Milford Drive,"Kingston, Ontario, K7P 1A7",,,"Condo Apartment, 2-Storey",,850.0,2.0,0:0,,320000.0,,,,0.0
property,4762597,1949 BATH Road,"Kingston, Ontario, K7M 4Y3",,,"Detached, Bungalow",,,4.0,0:0,,495000.0,,,,0.0
property,4762597,423 Carrie Crescent,"Kingston, Ontario, K7M 5X7",,,"Detached, Backsplit 4",,,4.0,0:0,,824000.0,,,,0.0
property,4762597,1034 Craig Lane,"Kingston, Ontario, K7M 7R8",,,"Condo Townhouse, 2-Storey",,1100.0,3.0,0:0,,400000.0,,,,0.0
property,4762597,782 Cedarwood Drive,"Kingston, Ontario, K7P 1M7",,,"Detached, Bungalow-Raised",,900.0,4.0,0:0,,515000.0,,,,0.0
property,4762597,1070 Dillingham Street,"Kingston, Ontario, K7P 2P4",,,"Detached, Sidesplit 3",,,3.0,0:0,,649900.0,,,,0.0
property,4762597,913 Lancaster Drive,"Kingston, Ontario, K7P 1R8",,,"Detached, 2-Storey",,1900.0,5.0,0:0,,760000.0,,,,0.0
property,4762597,767 Downing Street,"Kingston, Ontario, K7M 5N1",,,"Detached, Bungalow",,1300.0,3.0,0:0,,561767.0,,,,0.0
property,4762597,Unit 107 - 845 Milford Drive,"Kingston, Ontario, K7P 1A7",,,"Condo Apartment, Apartment",,550.0,1.0,0:0,,262500.0,,,,0.0
property,4762597,481 Citation Crescent,"Kingston, Ontario, K7M 8W2",,,"Detached, 2-Storey",,1750.0,4.0,0:0,,720000.0,,,,0.0
property,4762597,771 Birkley Place,"Kingston, Ontario, K7M 6Y3",,,"Detached, Bungalow-Raised",,1300.0,3.0,0:0,,425000.0,,,,0.0
property,4762597,1373 Fisher Crescent,"Kingston, Ontario, K7M 8T2",,,"Detached, Bungalow",,1500.0,5.0,0:0,,775000.0,,,,0.0
property,4762597,Unit 90 - 857 Datzell Lane S,"Kingston, Ontario, K7M 7P9",,,"Condo Townhouse, 3-Storey",,1300.0,3.0,0:0,,375300.0,,,,0.0
property,4762597,897 Lancaster Drive,"Kingston, Ontario, K7P 1R8",,,"Detached, Sidesplit 3",,1750.0,4.0,0:0,,660000.0,,,,0.0
property,4762597,825 Purcell Crescent,"Kingston, Ontario, K7P 1B8",,,"Detached, Backsplit 4",,1300.0,4.0,0:0,,580000.0,,,,0.0
property,4762597,1239 Katharine Crescent,"Kingston, Ontario, K7P 2T8",,,"Detached, 2-Storey",,1750.0,4.0,0:0,,760000.0,,,,0.0
property,4762597,Unit 507 - 675 Davis Drive,"Kingston, Ontario, K7M 8L5",,,"Condo Apartment, Apartment",,1100.0,2.0,0:0,,330000.0,,,,0.0
property,4762597,Unit 206 - 835 Milford Drive,"Kingston, Ontario, K7P 1A7",,,"Condo Apartment, Apartment",,950.0,2.0,0:0,,315000.0,,,,0.0
property,4762597,888 Clearfield Crescent,"Kingston, Ontario, K7P 1Z5",,,"Detached, 2-Storey",,1300.0,3.0,0:0,,510000.0,,,,0.0
property,4762597,969 Mona Drive,"Kingston, Ontario, K7P 2J5",,,"Detached, 2-Storey",,2750.0,4.0,0:0,,710000.0,,,,0.0
property,4762597,862 Kilburn Street,"Kingston, Ontario, K7M 6A9",,,"Detached, Sidesplit",,1300.0,4.0,0:0,,630000.0,,,,0.0
property,4762597,1220 Humberside Drive,"Kingston, Ontario, K7P 2P3",,,"Detached, 2-Storey",,2250.0,5.0,0:0,,888500.0,,,,0.0
property,4762597,700 LAIDLAW Crescent,"Kingston, Ontario, K7M 5M4",,,"Detached, Bungalow-Raised",,1300.0,4.0,0:0,,630000.0,,,,0.0
property,4762597,1246 Carmil Boulevard,"Kingston, Ontario, K7M 5Z3",,,"Detached, Bungalow-Raised",,900.0,3.0,0:0,,590000.0,,,,0.0
property,4762597,1511 CRIMSON Crescent,"Kingston, Ontario, K7P 0H4",,,"Detached, 2-Storey",,1300.0,3.0,0:0,,630000.0,,,,0.0
property,4762597,486 Evangeline Avenue,"Kingston, Ontario, K7M 8T1",,,"Semi-Detached, 2-Storey",,1300.0,3.0,0:0,,507900.0,,,,0.0
property,4762597,834 CEDARWOOD Drive,"Kingston, Ontario, K7P 1K8",,,"Semi-Detached, 2-Storey",,1300.0,3.0,0:0,,325000.0,,,,0.0
property,4762597,941 AMBLESIDE Crescent,"Kingston, Ontario, K7P 2B5",,,"Detached, 2-Storey",,1750.0,6.0,0:0,,850000.0,,,,0.0
property,4762597,700 LAIDLAW Crescent,"Kingston, Ontario, K7M 5M4",,,"Detached, Bungalow-Raised",,1300.0,4.0,0:0,,630000.0,,,,0.0
property,4762597,693 Millwood Drive,"Kingston, Ontario, K7M 8Z1",,,"Semi-Detached, Bungalow",,1750.0,2.0,0:0,,630000.0,,,,0.0
property,4762597,852 Development Drive,"Kingston, Ontario, K7M 4W6",,,"Detached, Sidesplit 4",,2250.0,4.0,0:0,,677500.0,,,,0.0
property,4762597,1173 Bentley Terrace,"Kingston, Ontario, K7P 2M1",,,"Detached, 2-Storey",,2250.0,4.0,0:0,,895000.0,,,,0.0
property,4762597,950 Oakview Avenue,"Kingston, Ontario, K7M 6W8",,,"Condo Townhouse, 2-Storey",,1100.0,3.0,0:0,,355000.0,,,,0.0
property,4762597,824 Slocan Place,"Kingston, Ontario, K7P 1B4",,,"Detached, Bungalow-Raised",,,3.0,0:0,,560000.0,,,,0.0
property,4762597,691 HIGH GATE PARK Drive,"Kingston, Ontario, K7M 5Z7",,,"Detached, Bungalow",,1300.0,4.0,0:0,,620000.0,,,,0.0
property,4762597,994 Hudson Drive,"Kingston, Ontario, K7M 6E1",,,"Detached, Bungalow-Raised",,1750.0,3.0,0:0,,625000.0,,,,0.0
property,4762597,725 Cedarwood Drive,"Kingston, Ontario, K7P 1V4",,,"Detached, 2-Storey",,1300.0,3.0,0:0,,525000.0,,,,0.0
property,4762597,1121 Lincoln Drive,"Kingston, Ontario, K7M 4Z7",,,"Detached, Bungalow",,1300.0,4.0,0:0,,760000.0,,,,0.0
property,4762597,Unit 406 - 649 Davis Drive,"Kingston, Ontario, K7M 8L4",,,"Common Element Condo, Apartment",,1100.0,2.0,0:0,,368000.0,,,,0.0
property,4762597,1125 Basswood Place,"Kingston, Ontario, K7P 1K4",,,"Detached, 2-Storey",,1300.0,4.0,0:0,,565000.0,,,,0.0
property,4762597,1149 Hudson Drive,"Kingston, Ontario, K7M 5L5",,,"Detached, 1 1/2 Storey",,1750.0,4.0,0:0,,648000.0,,,,0.0
property,4762597,479 Kirkwood Road,"Kingston, Ontario, K7M 3X3",,,"Detached, Bungalow",,900.0,4.0,0:0,,575000.0,,,,0.0
property,4762597,901 Lombardy Street,"Kingston, Ontario, K7M 9C2",,,"Detached, 2-Storey",,1300.0,3.0,0:0,,680000.0,,,,0.0
property,4762597,Unit 510 - 675 Davis Drive,"Kingston, Ontario, K7M 8L5",,,"Condo Apartment, Apartment",,1300.0,3.0,0:0,,440000.0,,,,0.0
property,4762597,900 DANBURY Road,"Kingston, Ontario, K7M 6E4",,,"Detached, Other",,1300.0,3.0,0:0,,597000.0,,,,0.0
property,4762597,731 Downing Street,"Kingston, Ontario, K7M 5N1",,,"Duplex, Bungalow",,1300.0,6.0,0:0,,650000.0,,,,0.0
property,4762597,998 Sprucewood Crescent,"Kingston, Ontario, K7P 1N1",,,"Semi-Detached, 2-Storey",,1300.0,3.0,0:0,,440000.0,,,,0.0
property,4762597,528 Beth Crescent,"Kingston, Ontario, K7P 0K9",,,"Detached, 2-Storey",,1300.0,3.0,0:0,,605000.0,,,,0.0
property,4762597,1063 Basswood Place,"Kingston, Ontario, K7P 1K4",,,"Semi-Detached, 2-Storey",,900.0,3.0,0:0,,490000.0,,,,0.0
property,4762597,1349 Tremont Drive,"Kingston, Ontario, K7P 0M5",,,"Freehold Townhouse, 2-Storey",,1750.0,3.0,0:0,,585000.0,,,,0.0
property,4762597,371 Tanglewood Drive,"Kingston, Ontario, K7M 8T9",,,"Detached, 2-Storey",,2250.0,4.0,0:0,,895000.0,,,,0.0
property,4762597,1203 Carfa Crescent,"Kingston, Ontario, K7P 0N2",,,"Semi-Detached, 2-Storey",,1750.0,3.0,0:0,,617207.0,,,,0.0
property,4762597,929 Clearfield Crescent,"Kingston, Ontario, K7P 2A1",,,"Semi-Detached, 2-Storey",,1300.0,3.0,0:0,,510000.0,,,,0.0
property,4762597,1038 Springfield Drive,"Kingston, Ontario, K7M 8V6",,,"Semi-Detached, 2-Storey",,1300.0,3.0,0:0,,517900.0,,,,0.0
property,4762597,958 Chancery Street,"Kingston, Ontario, K7P 1R3",,,"Detached, 2-Storey",,2250.0,4.0,0:0,,679000.0,,,,0.0
property,4762597,1110 Dunham Street,"Kingston, Ontario, K7P 2L4",,,"Detached, 2-Storey",,1750.0,4.0,0:0,,750000.0,,,,0.0
property,4762597,685 Roosevelt Drive,"Kingston, Ontario, K7M 8T8",,,"Detached, Bungalow",,1300.0,2.0,0:0,,530000.0,,,,0.0
comp,4762739,64 Deermist Dr,Porters Lake NS B3E 1P3,,,Detached,,,3.0,2:0,Similar,800000.0,2025-01-16,3.73 KM,3.73,2.0
comp,4762739,85 Oceanic Dr,East Lawrencetown NS B2Z 1T6,,,Detached,,,3.0,2:0,Good,950000.0,2024-12-21,8.98 KM,8.98,2.0
comp,4762739,270 Quinlan Dr,Head of Jeddore NS B0J 1P0,,,Detached,,,2.0,2:0,Good,829900.0,2024-11-23,17.33 KM,17.33,2.0
property,4762739,638 Myers Point Road,"Nova Scotia, Nova Scotia, B0J 1P0",,,Single Family,2010.0,1136.0,2.0,2:0,,710000.0,,,,2.0
property,4762739,281 West Jeddore Road,"Nova Scotia, Nova Scotia, B0J 1P0",,,Single Family,,1026.0,3.0,1:1,,450000.0,,,,1.5
property,4762739,46 Ostrea Lake Road,"Nova Scotia, Nova Scotia, B0J 2L0",,,Single Family,1967.0,2117.0,3.0,1:1,,930000.0,,,,1.5
property,4762739,15 Macdonald Lane,"Nova Scotia, Nova Scotia, B0J 2L0",,,Single Family,2021.0,816.0,2.0,1:1,,430000.0,,,,1.5
property,4762739,8426 Highway 7,"Nova Scotia, Nova Scotia, B0J 2L0",,,Single Family,1918.0,1350.0,3.0,1:0,,395000.0,,,,1.0
property,4762739,569 West Jeddore Road,"Nova Scotia, Nova Scotia, B0J 1P0",,,Single Family,2013.0,1320.0,3.0,2:0,,378275.0,,,,2.0
property,4762739,9051 Highway 7,"Nova Scotia, Nova Scotia, B0J 1P0",,,Single Family,1995.0,1092.0,3.0,2:0,,415000.0,,,,2.0
property,4762739,6547 Highway 7,"Nova Scotia, Nova Scotia, B0H 1N0",,,Single Family,1945.0,1100.0,3.0,2:0,,420000.0,,,,2.0
property,4762739,8179 7 Highway,"Nova Scotia, Nova Scotia, B0J 2L0",,,Single Family,,1078.0,2.0,1:0,,325000.0,,,,1.0
property,4762739,"205 East Petpeswick Road, Musquodoboit Harbour","Nova Scotia, Nova Scotia, B0J 2L0",,,Detached,1934.0,616.0,2.0,1:0,,135000.0,,,,1.0
property,4762739,2 Willowdale Drive,"Nova Scotia, Nova Scotia, B0J 2L0",,,Single Family,1998.0,1182.0,3.0,2:0,,500000.0,,,,2.0
property,4762739,6820 Highway 7,"Nova Scotia, Nova Scotia, B0H 1N0",,,Single Family,1980.0,900.0,3.0,2:0,,500000.0,,,,2.0
property,4762739,425 Highway 357,"Nova Scotia, Nova Scotia, B0J 1N0",,,Single Family,1875.0,320.0,1.0,1:0,,108000.0,,,,1.0
property,4762739,9559 Highway 7,"Nova Scotia, Nova Scotia, B0J 1P0",,,Single Family,1950.0,1130.0,2.0,1:2,,285000.0,,,,2.0
property,4762739,Lot 1 Highway 357,"Nova Scotia, Nova Scotia, B0J 2L0",,,Single Family,,1185.0,2.0,2:0,,420000.0,,,,2.0
property,4762739,8210 Highway 7,"Nova Scotia, Nova Scotia, B0J 2L0",,,Single Family,,440.0,2.0,1:0,,263500.0,,,,1.0
property,4762739,215 Scotsdale Drive,"Nova Scotia, Nova Scotia, B0J 1N0",,,Single Family,2004.0,3675.0,5.0,4:0,,999999.0,,,,4.0
property,4762739,Unit 7  East Petpeswick Road,"Nova Scotia, Nova Scotia, B0J 2L0",,,Single Family,,1472.0,3.0,2:0,,545000.0,,,,2.0
property,4762739,8683 Highway 7,"Nova Scotia, Nova Scotia, B0J 2L0",,,Duplex,1991.0,1152.0,4.0,2:0,,,,,,2.0
comp,4763065,6 Marshall Ave,Ayr ON N0B 1E0,,,Detached,,2003.0,4.0,2F1P,Superior,1150000.0,2025-03-26,0.31 KM,0.31,1.0
comp,4763065,3219 Roseville Rd,Ayr ON N0B 1E0,,,Detached,,2940.0,4.0,3F1P,Superior,1130000.0,2024-12-24,0.50 KM,0.5,1.0
comp,4763065,13 James Crt,Heidelberg ON N0B 2M1,,,Detached,,2365.0,3.0,2F1P,Average,1220000.0,2025-04-16,23.23 KM,23.23,1.0
property,4763065,246 Waterbrook Lane,"Kitchener, Ontario, N2P 2X5",,,"Row/Townhouse, Two Story",,1444.0,3.0,2:1,,717000.0,,,,2.5
property,4763065,115 Templewood Drive,"Kitchener, Ontario, N2R 1Y4",,,"Row/Townhouse, Two Story",,1100.0,3.0,1:1,,695000.0,,,,1.5
property,4763065,237 Shady Glen Crescent,"Kitchener, Ontario, N2R 0J9",,,"Single Family Residence, Two Story",2017.0,2377.0,4.0,3:1,,952200.0,,,,3.5
